v,y,b,x,a
65,88,gabage71,gabage127,gabage33
gabage76,38,82,4,gabage31
40,gabage9,121,46,118
23,gabage47,47,16,28
68,121,gabage46,30,gabage21
68,35,17,118,28
gabage59,10,0,gabage115,119
90,2,97,gabage10,30
46,gabage73,gabage10,8,gabage15
gabage25,94,110,gabage99,13
12,82,26,gabage2,110
0,28,62,40,46
111,12,77,90,gabage37
gabage100,gabage30,15,44,108
105,17,84,gabage19,113
42,24,gabage53,63,gabage116
43,34,14,103,80
72,gabage64,52,115,gabage12
57,61,65,87,124
100,gabage119,100,119,gabage15
gabage93,gabage8,120,gabage60,121
109,40,gabage114,113,24
gabage62,30,25,gabage60,30
73,93,gabage65,108,37
gabage64,124,38,124,51
81,gabage125,113,9,gabage83
82,91,104,gabage7,77
89,23,122,gabage107,54
gabage24,55,71,gabage23,104
71,64,118,74,gabage50
115,27,109,113,66
91,gabage117,82,46,gabage7
gabage8,49,67,108,52
gabage114,gabage111,74,29,44
114,gabage112,20,40,53
107,12,gabage93,gabage44,41
90,63,72,69,75
30,68,115,gabage68,4
93,gabage6,gabage113,6,59
119,101,29,31,126
91,28,gabage68,119,10
71,49,101,6,14
0,gabage47,91,gabage44,88
gabage11,104,gabage95,52,71
46,45,106,43,92
81,94,4,50,23
gabage27,85,gabage109,gabage59,58
gabage47,18,22,2,40
gabage67,gabage20,38,94,88
32,46,56,36,63
gabage51,gabage40,78,18,7
gabage6,gabage119,gabage38,10,121
114,124,114,gabage12,39
34,65,gabage90,44,36
88,29,15,49,21
gabage80,47,33,84,113
57,87,117,59,gabage123
gabage82,23,gabage28,gabage82,12
gabage115,34,0,39,8
89,16,26,68,108
5,gabage9,70,36,33
111,12,gabage116,119,81
17,103,40,gabage54,64
59,66,17,90,103
23,26,gabage70,118,5
6,59,gabage101,72,15
51,4,gabage16,52,80
50,gabage28,gabage45,18,101
58,gabage107,gabage3,119,gabage5
106,76,17,7,36
gabage98,97,49,126,119
gabage103,99,77,62,111
gabage78,62,41,gabage124,89
