n,human,comp
124,1240,0.00015376
125,1250,0.00015625
126,1260,0.00015876
127,1270,0.00016129
128,1280,0.00016384
129,1290,0.00016641
130,1300,0.000169
131,1310,0.00017161
132,1320,0.00017424
133,1330,0.00017689
134,1340,0.00017956
135,1350,0.00018225
136,1360,0.00018496
137,1370,0.00018769
138,1380,0.00019044
139,1390,0.00019321
140,1400,0.000196
141,1410,0.00019881
142,1420,0.00020164
143,1430,0.00020449
144,1440,0.00020736
145,1450,0.00021025
146,1460,0.00021316
147,1470,0.00021609
148,1480,0.00021904
149,1490,0.00022201
150,1500,0.000225
151,1510,0.00022801
152,1520,0.00023104
153,1530,0.00023409
154,1540,0.00023716
155,1550,0.00024025
156,1560,0.00024336
157,1570,0.00024649
158,1580,0.00024964
159,1590,0.00025281
160,1600,0.000256
161,1610,0.00025921
162,1620,0.00026244
163,1630,0.00026569
164,1640,0.00026896
165,1650,0.00027225
166,1660,0.00027556
167,1670,0.00027889
168,1680,0.00028224
169,1690,0.00028561
170,1700,0.000289
171,1710,0.00029241
172,1720,0.00029584
173,1730,0.00029929
174,1740,0.00030276
175,1750,0.00030625
176,1760,0.00030976
177,1770,0.00031329
178,1780,0.00031684
179,1790,0.00032041
180,1800,0.000324
181,1810,0.00032761
182,1820,0.00033124
183,1830,0.00033489
184,1840,0.00033856
185,1850,0.00034225
186,1860,0.00034596
187,1870,0.00034969
188,1880,0.00035344
189,1890,0.00035721
190,1900,0.000361
191,1910,0.00036481
192,1920,0.00036864
193,1930,0.00037249
194,1940,0.00037636
195,1950,0.00038025
196,1960,0.00038416
197,1970,0.00038809
198,1980,0.00039204
199,1990,0.00039601
200,2000,0.0004
201,2010,0.00040401
202,2020,0.00040804
203,2030,0.00041209
204,2040,0.00041616
205,2050,0.00042025
206,2060,0.00042436
207,2070,0.00042849
208,2080,0.00043264
209,2090,0.00043681
210,2100,0.000441
211,2110,0.00044521
212,2120,0.00044944
213,2130,0.00045369
214,2140,0.00045796
215,2150,0.00046225
216,2160,0.00046656
217,2170,0.00047089
218,2180,0.00047524
219,2190,0.00047961
220,2200,0.000484
221,2210,0.00048841
222,2220,0.00049284
223,2230,0.00049729
224,2240,0.00050176
225,2250,0.00050625
226,2260,0.00051076
227,2270,0.00051529
228,2280,0.00051984
229,2290,0.00052441
230,2300,0.000529
231,2310,0.00053361
232,2320,0.00053824
233,2330,0.00054289
234,2340,0.00054756
235,2350,0.00055225
236,2360,0.00055696
237,2370,0.00056169
238,2380,0.00056644
239,2390,0.00057121
240,2400,0.000576
241,2410,0.00058081
242,2420,0.00058564
243,2430,0.00059049
244,2440,0.00059536
245,2450,0.00060025
246,2460,0.00060516
247,2470,0.00061009
248,2480,0.00061504
249,2490,0.00062001
250,2500,0.000625
251,2510,0.00063001
252,2520,0.00063504
253,2530,0.00064009
254,2540,0.00064516
255,2550,0.00065025
256,2560,0.00065536
257,2570,0.00066049
258,2580,0.00066564
259,2590,0.00067081
260,2600,0.000676
261,2610,0.00068121
262,2620,0.00068644
263,2630,0.00069169
264,2640,0.00069696
265,2650,0.00070225
266,2660,0.00070756
267,2670,0.00071289
268,2680,0.00071824
269,2690,0.00072361
270,2700,0.000729
271,2710,0.00073441
272,2720,0.00073984
273,2730,0.00074529
274,2740,0.00075076
275,2750,0.00075625
276,2760,0.00076176
277,2770,0.00076729
278,2780,0.00077284
279,2790,0.00077841
280,2800,0.000784
281,2810,0.00078961
282,2820,0.00079524
283,2830,0.00080089
284,2840,0.00080656
285,2850,0.00081225
286,2860,0.00081796
287,2870,0.00082369
288,2880,0.00082944
289,2890,0.00083521
290,2900,0.000841
291,2910,0.00084681
292,2920,0.00085264
293,2930,0.00085849
294,2940,0.00086436
295,2950,0.00087025
296,2960,0.00087616
297,2970,0.00088209
298,2980,0.00088804
299,2990,0.00089401
300,3000,0.0009
301,3010,0.00090601
302,3020,0.00091204
303,3030,0.00091809
304,3040,0.00092416
305,3050,0.00093025
306,3060,0.00093636
307,3070,0.00094249
308,3080,0.00094864
309,3090,0.00095481
310,3100,0.000961
311,3110,0.00096721
312,3120,0.00097344
313,3130,0.00097969
314,3140,0.00098596
315,3150,0.00099225
316,3160,0.00099856
317,3170,0.00100489
318,3180,0.00101124
319,3190,0.00101761
320,3200,0.001024
321,3210,0.00103041
322,3220,0.00103684
323,3230,0.00104329
324,3240,0.00104976
325,3250,0.00105625
326,3260,0.00106276
327,3270,0.00106929
328,3280,0.00107584
329,3290,0.00108241
330,3300,0.001089
331,3310,0.00109561
332,3320,0.00110224
333,3330,0.00110889
334,3340,0.00111556
335,3350,0.00112225
336,3360,0.00112896
337,3370,0.00113569
338,3380,0.00114244
339,3390,0.00114921
340,3400,0.001156
341,3410,0.00116281
342,3420,0.00116964
343,3430,0.00117649
344,3440,0.00118336
345,3450,0.00119025
346,3460,0.00119716
347,3470,0.00120409
348,3480,0.00121104
349,3490,0.00121801
350,3500,0.001225
351,3510,0.00123201
352,3520,0.00123904
353,3530,0.00124609
354,3540,0.00125316
355,3550,0.00126025
356,3560,0.00126736
357,3570,0.00127449
358,3580,0.00128164
359,3590,0.00128881
360,3600,0.001296
361,3610,0.00130321
362,3620,0.00131044
363,3630,0.00131769
364,3640,0.00132496
365,3650,0.00133225
366,3660,0.00133956
367,3670,0.00134689
368,3680,0.00135424
369,3690,0.00136161
370,3700,0.001369
371,3710,0.00137641
372,3720,0.00138384
373,3730,0.00139129
374,3740,0.00139876
375,3750,0.00140625
376,3760,0.00141376
377,3770,0.00142129
378,3780,0.00142884
379,3790,0.00143641
380,3800,0.001444
381,3810,0.00145161
382,3820,0.00145924
383,3830,0.00146689
384,3840,0.00147456
385,3850,0.00148225
386,3860,0.00148996
387,3870,0.00149769
388,3880,0.00150544
389,3890,0.00151321
390,3900,0.001521
391,3910,0.00152881
392,3920,0.00153664
393,3930,0.00154449
394,3940,0.00155236
395,3950,0.00156025
396,3960,0.00156816
397,3970,0.00157609
398,3980,0.00158404
399,3990,0.00159201
400,4000,0.0016
401,4010,0.00160801
402,4020,0.00161604
403,4030,0.00162409
404,4040,0.00163216
405,4050,0.00164025
406,4060,0.00164836
407,4070,0.00165649
408,4080,0.00166464
409,4090,0.00167281
410,4100,0.001681
411,4110,0.00168921
412,4120,0.00169744
413,4130,0.00170569
414,4140,0.00171396
415,4150,0.00172225
416,4160,0.00173056
417,4170,0.00173889
418,4180,0.00174724
419,4190,0.00175561
420,4200,0.001764
421,4210,0.00177241
422,4220,0.00178084
423,4230,0.00178929
424,4240,0.00179776
425,4250,0.00180625
426,4260,0.00181476
427,4270,0.00182329
428,4280,0.00183184
429,4290,0.00184041
430,4300,0.001849
431,4310,0.00185761
432,4320,0.00186624
433,4330,0.00187489
434,4340,0.00188356
435,4350,0.00189225
436,4360,0.00190096
437,4370,0.00190969
438,4380,0.00191844
439,4390,0.00192721
440,4400,0.001936
441,4410,0.00194481
442,4420,0.00195364
443,4430,0.00196249
444,4440,0.00197136
445,4450,0.00198025
446,4460,0.00198916
447,4470,0.00199809
448,4480,0.00200704
449,4490,0.00201601
450,4500,0.002025
451,4510,0.00203401
452,4520,0.00204304
453,4530,0.00205209
454,4540,0.00206116
455,4550,0.00207025
456,4560,0.00207936
457,4570,0.00208849
458,4580,0.00209764
459,4590,0.00210681
460,4600,0.002116
461,4610,0.00212521
462,4620,0.00213444
463,4630,0.00214369
464,4640,0.00215296
465,4650,0.00216225
466,4660,0.00217156
467,4670,0.00218089
468,4680,0.00219024
469,4690,0.00219961
470,4700,0.002209
471,4710,0.00221841
472,4720,0.00222784
473,4730,0.00223729
474,4740,0.00224676
475,4750,0.00225625
476,4760,0.00226576
477,4770,0.00227529
478,4780,0.00228484
479,4790,0.00229441
480,4800,0.002304
481,4810,0.00231361
482,4820,0.00232324
483,4830,0.00233289
484,4840,0.00234256
485,4850,0.00235225
486,4860,0.00236196
487,4870,0.00237169
488,4880,0.00238144
489,4890,0.00239121
490,4900,0.002401
491,4910,0.00241081
492,4920,0.00242064
493,4930,0.00243049
494,4940,0.00244036
495,4950,0.00245025
496,4960,0.00246016
497,4970,0.00247009
498,4980,0.00248004
499,4990,0.00249001
500,5000,0.0025
501,5010,0.00251001
502,5020,0.00252004
503,5030,0.00253009
504,5040,0.00254016
505,5050,0.00255025
506,5060,0.00256036
507,5070,0.00257049
508,5080,0.00258064
509,5090,0.00259081
510,5100,0.002601
511,5110,0.00261121
512,5120,0.00262144
513,5130,0.00263169
514,5140,0.00264196
515,5150,0.00265225
516,5160,0.00266256
517,5170,0.00267289
518,5180,0.00268324
519,5190,0.00269361
520,5200,0.002704
521,5210,0.00271441
522,5220,0.00272484
523,5230,0.00273529
524,5240,0.00274576
525,5250,0.00275625
526,5260,0.00276676
527,5270,0.00277729
528,5280,0.00278784
529,5290,0.00279841
530,5300,0.002809
531,5310,0.00281961
532,5320,0.00283024
533,5330,0.00284089
534,5340,0.00285156
535,5350,0.00286225
536,5360,0.00287296
537,5370,0.00288369
538,5380,0.00289444
539,5390,0.00290521
540,5400,0.002916
541,5410,0.00292681
542,5420,0.00293764
543,5430,0.00294849
544,5440,0.00295936
545,5450,0.00297025
546,5460,0.00298116
547,5470,0.00299209
548,5480,0.00300304
549,5490,0.00301401
550,5500,0.003025
551,5510,0.00303601
552,5520,0.00304704
553,5530,0.00305809
554,5540,0.00306916
555,5550,0.00308025
556,5560,0.00309136
557,5570,0.00310249
558,5580,0.00311364
559,5590,0.00312481
560,5600,0.003136
561,5610,0.00314721
562,5620,0.00315844
563,5630,0.00316969
564,5640,0.00318096
565,5650,0.00319225
566,5660,0.00320356
567,5670,0.00321489
568,5680,0.00322624
569,5690,0.00323761
570,5700,0.003249
571,5710,0.00326041
572,5720,0.00327184
573,5730,0.00328329
574,5740,0.00329476
575,5750,0.00330625
576,5760,0.00331776
577,5770,0.00332929
578,5780,0.00334084
579,5790,0.00335241
580,5800,0.003364
581,5810,0.00337561
582,5820,0.00338724
583,5830,0.00339889
584,5840,0.00341056
585,5850,0.00342225
586,5860,0.00343396
587,5870,0.00344569
588,5880,0.00345744
589,5890,0.00346921
590,5900,0.003481
591,5910,0.00349281
592,5920,0.00350464
593,5930,0.00351649
594,5940,0.00352836
595,5950,0.00354025
596,5960,0.00355216
597,5970,0.00356409
598,5980,0.00357604
599,5990,0.00358801
600,6000,0.0036
601,6010,0.00361201
602,6020,0.00362404
603,6030,0.00363609
604,6040,0.00364816
605,6050,0.00366025
606,6060,0.00367236
607,6070,0.00368449
608,6080,0.00369664
609,6090,0.00370881
610,6100,0.003721
611,6110,0.00373321
612,6120,0.00374544
613,6130,0.00375769
614,6140,0.00376996
615,6150,0.00378225
616,6160,0.00379456
617,6170,0.00380689
618,6180,0.00381924
619,6190,0.00383161
620,6200,0.003844
621,6210,0.00385641
622,6220,0.00386884
623,6230,0.00388129
624,6240,0.00389376
625,6250,0.00390625
626,6260,0.00391876
627,6270,0.00393129
628,6280,0.00394384
629,6290,0.00395641
630,6300,0.003969
631,6310,0.00398161
632,6320,0.00399424
633,6330,0.00400689
634,6340,0.00401956
635,6350,0.00403225
636,6360,0.00404496
637,6370,0.00405769
638,6380,0.00407044
639,6390,0.00408321
640,6400,0.004096
641,6410,0.00410881
642,6420,0.00412164
643,6430,0.00413449
644,6440,0.00414736
645,6450,0.00416025
646,6460,0.00417316
647,6470,0.00418609
648,6480,0.00419904
649,6490,0.00421201
650,6500,0.004225
651,6510,0.00423801
652,6520,0.00425104
653,6530,0.00426409
654,6540,0.00427716
655,6550,0.00429025
656,6560,0.00430336
657,6570,0.00431649
658,6580,0.00432964
659,6590,0.00434281
660,6600,0.004356
661,6610,0.00436921
662,6620,0.00438244
663,6630,0.00439569
664,6640,0.00440896
665,6650,0.00442225
666,6660,0.00443556
667,6670,0.00444889
668,6680,0.00446224
669,6690,0.00447561
670,6700,0.004489
671,6710,0.00450241
672,6720,0.00451584
673,6730,0.00452929
674,6740,0.00454276
675,6750,0.00455625
676,6760,0.00456976
677,6770,0.00458329
678,6780,0.00459684
679,6790,0.00461041
680,6800,0.004624
681,6810,0.00463761
682,6820,0.00465124
683,6830,0.00466489
684,6840,0.00467856
685,6850,0.00469225
686,6860,0.00470596
687,6870,0.00471969
688,6880,0.00473344
689,6890,0.00474721
690,6900,0.004761
691,6910,0.00477481
692,6920,0.00478864
693,6930,0.00480249
694,6940,0.00481636
695,6950,0.00483025
696,6960,0.00484416
697,6970,0.00485809
698,6980,0.00487204
699,6990,0.00488601
700,7000,0.0049
701,7010,0.00491401
702,7020,0.00492804
703,7030,0.00494209
704,7040,0.00495616
705,7050,0.00497025
706,7060,0.00498436
707,7070,0.00499849
708,7080,0.00501264
709,7090,0.00502681
710,7100,0.005041
711,7110,0.00505521
712,7120,0.00506944
713,7130,0.00508369
714,7140,0.00509796
715,7150,0.00511225
716,7160,0.00512656
717,7170,0.00514089
718,7180,0.00515524
719,7190,0.00516961
720,7200,0.005184
721,7210,0.00519841
722,7220,0.00521284
723,7230,0.00522729
724,7240,0.00524176
725,7250,0.00525625
726,7260,0.00527076
727,7270,0.00528529
728,7280,0.00529984
729,7290,0.00531441
730,7300,0.005329
731,7310,0.00534361
732,7320,0.00535824
733,7330,0.00537289
734,7340,0.00538756
735,7350,0.00540225
736,7360,0.00541696
737,7370,0.00543169
738,7380,0.00544644
739,7390,0.00546121
740,7400,0.005476
741,7410,0.00549081
742,7420,0.00550564
743,7430,0.00552049
744,7440,0.00553536
745,7450,0.00555025
746,7460,0.00556516
747,7470,0.00558009
748,7480,0.00559504
749,7490,0.00561001
750,7500,0.005625
751,7510,0.00564001
752,7520,0.00565504
753,7530,0.00567009
754,7540,0.00568516
755,7550,0.00570025
756,7560,0.00571536
757,7570,0.00573049
758,7580,0.00574564
759,7590,0.00576081
760,7600,0.005776
761,7610,0.00579121
762,7620,0.00580644
763,7630,0.00582169
764,7640,0.00583696
765,7650,0.00585225
766,7660,0.00586756
767,7670,0.00588289
768,7680,0.00589824
769,7690,0.00591361
770,7700,0.005929
771,7710,0.00594441
772,7720,0.00595984
773,7730,0.00597529
774,7740,0.00599076
775,7750,0.00600625
776,7760,0.00602176
777,7770,0.00603729
778,7780,0.00605284
779,7790,0.00606841
780,7800,0.006084
781,7810,0.00609961
782,7820,0.00611524
783,7830,0.00613089
784,7840,0.00614656
785,7850,0.00616225
786,7860,0.00617796
787,7870,0.00619369
788,7880,0.00620944
789,7890,0.00622521
790,7900,0.006241
791,7910,0.00625681
792,7920,0.00627264
793,7930,0.00628849
794,7940,0.00630436
795,7950,0.00632025
796,7960,0.00633616
797,7970,0.00635209
798,7980,0.00636804
799,7990,0.00638401
800,8000,0.0064
801,8010,0.00641601
802,8020,0.00643204
803,8030,0.00644809
804,8040,0.00646416
805,8050,0.00648025
806,8060,0.00649636
807,8070,0.00651249
808,8080,0.00652864
809,8090,0.00654481
810,8100,0.006561
811,8110,0.00657721
812,8120,0.00659344
813,8130,0.00660969
814,8140,0.00662596
815,8150,0.00664225
816,8160,0.00665856
817,8170,0.00667489
818,8180,0.00669124
819,8190,0.00670761
820,8200,0.006724
821,8210,0.00674041
822,8220,0.00675684
823,8230,0.00677329
824,8240,0.00678976
825,8250,0.00680625
826,8260,0.00682276
827,8270,0.00683929
828,8280,0.00685584
829,8290,0.00687241
830,8300,0.006889
831,8310,0.00690561
832,8320,0.00692224
833,8330,0.00693889
834,8340,0.00695556
835,8350,0.00697225
836,8360,0.00698896
837,8370,0.00700569
838,8380,0.00702244
839,8390,0.00703921
840,8400,0.007056
841,8410,0.00707281
842,8420,0.00708964
843,8430,0.00710649
844,8440,0.00712336
845,8450,0.00714025
846,8460,0.00715716
847,8470,0.00717409
848,8480,0.00719104
849,8490,0.00720801
850,8500,0.007225
851,8510,0.00724201
852,8520,0.00725904
853,8530,0.00727609
854,8540,0.00729316
855,8550,0.00731025
856,8560,0.00732736
857,8570,0.00734449
858,8580,0.00736164
859,8590,0.00737881
860,8600,0.007396
861,8610,0.00741321
862,8620,0.00743044
863,8630,0.00744769
864,8640,0.00746496
865,8650,0.00748225
866,8660,0.00749956
867,8670,0.00751689
868,8680,0.00753424
869,8690,0.00755161
870,8700,0.007569
871,8710,0.00758641
872,8720,0.00760384
873,8730,0.00762129
874,8740,0.00763876
875,8750,0.00765625
876,8760,0.00767376
877,8770,0.00769129
878,8780,0.00770884
879,8790,0.00772641
880,8800,0.007744
881,8810,0.00776161
882,8820,0.00777924
883,8830,0.00779689
884,8840,0.00781456
885,8850,0.00783225
886,8860,0.00784996
887,8870,0.00786769
888,8880,0.00788544
889,8890,0.00790321
890,8900,0.007921
891,8910,0.00793881
892,8920,0.00795664
893,8930,0.00797449
894,8940,0.00799236
895,8950,0.00801025
896,8960,0.00802816
897,8970,0.00804609
898,8980,0.00806404
899,8990,0.00808201
900,9000,0.0081
901,9010,0.00811801
902,9020,0.00813604
903,9030,0.00815409
904,9040,0.00817216
905,9050,0.00819025
906,9060,0.00820836
907,9070,0.00822649
908,9080,0.00824464
909,9090,0.00826281
910,9100,0.008281
911,9110,0.00829921
912,9120,0.00831744
913,9130,0.00833569
914,9140,0.00835396
915,9150,0.00837225
916,9160,0.00839056
917,9170,0.00840889
918,9180,0.00842724
919,9190,0.00844561
920,9200,0.008464
921,9210,0.00848241
922,9220,0.00850084
923,9230,0.00851929
924,9240,0.00853776
925,9250,0.00855625
926,9260,0.00857476
927,9270,0.00859329
928,9280,0.00861184
929,9290,0.00863041
930,9300,0.008649
931,9310,0.00866761
932,9320,0.00868624
933,9330,0.00870489
934,9340,0.00872356
935,9350,0.00874225
936,9360,0.00876096
937,9370,0.00877969
938,9380,0.00879844
939,9390,0.00881721
940,9400,0.008836
941,9410,0.00885481
942,9420,0.00887364
943,9430,0.00889249
944,9440,0.00891136
945,9450,0.00893025
946,9460,0.00894916
947,9470,0.00896809
948,9480,0.00898704
949,9490,0.00900601
950,9500,0.009025
951,9510,0.00904401
952,9520,0.00906304
953,9530,0.00908209
954,9540,0.00910116
955,9550,0.00912025
956,9560,0.00913936
957,9570,0.00915849
958,9580,0.00917764
959,9590,0.00919681
960,9600,0.009216
961,9610,0.00923521
962,9620,0.00925444
963,9630,0.00927369
964,9640,0.00929296
965,9650,0.00931225
966,9660,0.00933156
967,9670,0.00935089
968,9680,0.00937024
969,9690,0.00938961
970,9700,0.009409
971,9710,0.00942841
972,9720,0.00944784
973,9730,0.00946729
974,9740,0.00948676
975,9750,0.00950625
976,9760,0.00952576
977,9770,0.00954529
978,9780,0.00956484
979,9790,0.00958441
980,9800,0.009604
981,9810,0.00962361
982,9820,0.00964324
983,9830,0.00966289
984,9840,0.00968256
985,9850,0.00970225
986,9860,0.00972196
987,9870,0.00974169
988,9880,0.00976144
989,9890,0.00978121
990,9900,0.009801
991,9910,0.00982081
992,9920,0.00984064
993,9930,0.00986049
994,9940,0.00988036
995,9950,0.00990025
996,9960,0.00992016
997,9970,0.00994009
998,9980,0.00996004
999,9990,0.00998001
1000,10000,0.01
1001,10010,0.01002
1002,10020,0.01004
1003,10030,0.0100601
1004,10040,0.0100802
1005,10050,0.0101002
1006,10060,0.0101204
1007,10070,0.0101405
1008,10080,0.0101606
1009,10090,0.0101808
1010,10100,0.010201
1011,10110,0.0102212
1012,10120,0.0102414
1013,10130,0.0102617
1014,10140,0.010282
1015,10150,0.0103023
1016,10160,0.0103226
1017,10170,0.0103429
1018,10180,0.0103632
1019,10190,0.0103836
1020,10200,0.010404
1021,10210,0.0104244
1022,10220,0.0104448
1023,10230,0.0104653
1024,10240,0.0104858
1025,10250,0.0105062
1026,10260,0.0105268
1027,10270,0.0105473
1028,10280,0.0105678
1029,10290,0.0105884
1030,10300,0.010609
1031,10310,0.0106296
1032,10320,0.0106502
1033,10330,0.0106709
1034,10340,0.0106916
1035,10350,0.0107122
1036,10360,0.010733
1037,10370,0.0107537
1038,10380,0.0107744
1039,10390,0.0107952
1040,10400,0.010816
1041,10410,0.0108368
1042,10420,0.0108576
1043,10430,0.0108785
1044,10440,0.0108994
1045,10450,0.0109202
1046,10460,0.0109412
1047,10470,0.0109621
1048,10480,0.010983
1049,10490,0.011004
1050,10500,0.011025
1051,10510,0.011046
1052,10520,0.011067
1053,10530,0.0110881
1054,10540,0.0111092
1055,10550,0.0111302
1056,10560,0.0111514
1057,10570,0.0111725
1058,10580,0.0111936
1059,10590,0.0112148
1060,10600,0.011236
1061,10610,0.0112572
1062,10620,0.0112784
1063,10630,0.0112997
1064,10640,0.011321
1065,10650,0.0113422
1066,10660,0.0113636
1067,10670,0.0113849
1068,10680,0.0114062
1069,10690,0.0114276
1070,10700,0.011449
1071,10710,0.0114704
1072,10720,0.0114918
1073,10730,0.0115133
1074,10740,0.0115348
1075,10750,0.0115563
1076,10760,0.0115778
1077,10770,0.0115993
1078,10780,0.0116208
1079,10790,0.0116424
1080,10800,0.011664
1081,10810,0.0116856
1082,10820,0.0117072
1083,10830,0.0117289
1084,10840,0.0117506
1085,10850,0.0117722
1086,10860,0.011794
1087,10870,0.0118157
1088,10880,0.0118374
1089,10890,0.0118592
1090,10900,0.011881
1091,10910,0.0119028
1092,10920,0.0119246
1093,10930,0.0119465
1094,10940,0.0119684
1095,10950,0.0119903
1096,10960,0.0120122
1097,10970,0.0120341
1098,10980,0.012056
1099,10990,0.012078
1100,11000,0.0121
1101,11010,0.012122
1102,11020,0.012144
1103,11030,0.0121661
1104,11040,0.0121882
1105,11050,0.0122103
1106,11060,0.0122324
1107,11070,0.0122545
1108,11080,0.0122766
1109,11090,0.0122988
1110,11100,0.012321
1111,11110,0.0123432
1112,11120,0.0123654
1113,11130,0.0123877
1114,11140,0.01241
1115,11150,0.0124323
1116,11160,0.0124546
1117,11170,0.0124769
1118,11180,0.0124992
1119,11190,0.0125216
1120,11200,0.012544
1121,11210,0.0125664
1122,11220,0.0125888
1123,11230,0.0126113
1124,11240,0.0126338
1125,11250,0.0126563
1126,11260,0.0126788
1127,11270,0.0127013
1128,11280,0.0127238
1129,11290,0.0127464
1130,11300,0.012769
1131,11310,0.0127916
1132,11320,0.0128142
1133,11330,0.0128369
1134,11340,0.0128596
1135,11350,0.0128822
1136,11360,0.012905
1137,11370,0.0129277
1138,11380,0.0129504
1139,11390,0.0129732
1140,11400,0.012996
1141,11410,0.0130188
1142,11420,0.0130416
1143,11430,0.0130645
1144,11440,0.0130874
1145,11450,0.0131103
1146,11460,0.0131332
1147,11470,0.0131561
1148,11480,0.013179
1149,11490,0.013202
1150,11500,0.013225
1151,11510,0.013248
1152,11520,0.013271
1153,11530,0.0132941
1154,11540,0.0133172
1155,11550,0.0133402
1156,11560,0.0133634
1157,11570,0.0133865
1158,11580,0.0134096
1159,11590,0.0134328
1160,11600,0.013456
1161,11610,0.0134792
1162,11620,0.0135024
1163,11630,0.0135257
1164,11640,0.013549
1165,11650,0.0135723
1166,11660,0.0135956
1167,11670,0.0136189
1168,11680,0.0136422
1169,11690,0.0136656
1170,11700,0.013689
1171,11710,0.0137124
1172,11720,0.0137358
1173,11730,0.0137593
1174,11740,0.0137828
1175,11750,0.0138063
1176,11760,0.0138298
1177,11770,0.0138533
1178,11780,0.0138768
1179,11790,0.0139004
1180,11800,0.013924
1181,11810,0.0139476
1182,11820,0.0139712
1183,11830,0.0139949
1184,11840,0.0140186
1185,11850,0.0140423
1186,11860,0.014066
1187,11870,0.0140897
1188,11880,0.0141134
1189,11890,0.0141372
1190,11900,0.014161
1191,11910,0.0141848
1192,11920,0.0142086
1193,11930,0.0142325
1194,11940,0.0142564
1195,11950,0.0142802
1196,11960,0.0143042
1197,11970,0.0143281
1198,11980,0.014352
1199,11990,0.014376
1200,12000,0.0144
1201,12010,0.014424
1202,12020,0.014448
1203,12030,0.0144721
1204,12040,0.0144962
1205,12050,0.0145203
1206,12060,0.0145444
1207,12070,0.0145685
1208,12080,0.0145926
1209,12090,0.0146168
1210,12100,0.014641
1211,12110,0.0146652
1212,12120,0.0146894
1213,12130,0.0147137
1214,12140,0.014738
1215,12150,0.0147623
1216,12160,0.0147866
1217,12170,0.0148109
1218,12180,0.0148352
1219,12190,0.0148596
1220,12200,0.014884
1221,12210,0.0149084
1222,12220,0.0149328
1223,12230,0.0149573
1224,12240,0.0149818
1225,12250,0.0150063
1226,12260,0.0150308
1227,12270,0.0150553
1228,12280,0.0150798
1229,12290,0.0151044
1230,12300,0.015129
1231,12310,0.0151536
1232,12320,0.0151782
1233,12330,0.0152029
1234,12340,0.0152276
1235,12350,0.0152523
1236,12360,0.015277
1237,12370,0.0153017
1238,12380,0.0153264
1239,12390,0.0153512
1240,12400,0.015376
1241,12410,0.0154008
1242,12420,0.0154256
1243,12430,0.0154505
1244,12440,0.0154754
1245,12450,0.0155003
1246,12460,0.0155252
1247,12470,0.0155501
1248,12480,0.015575
1249,12490,0.0156
1250,12500,0.015625
1251,12510,0.01565
1252,12520,0.015675
1253,12530,0.0157001
1254,12540,0.0157252
1255,12550,0.0157503
1256,12560,0.0157754
1257,12570,0.0158005
1258,12580,0.0158256
1259,12590,0.0158508
1260,12600,0.015876
1261,12610,0.0159012
