n,nochange,change
248,79,175
249,79,175
250,79,176
251,79,176
252,79,177
253,79,177
254,79,178
255,79,179
256,80,180
257,81,181
258,81,182
259,81,182
260,82,182
261,82,183
262,82,183
263,82,184
264,82,184
265,83,185
266,84,186
267,84,187
268,84,187
269,84,188
270,84,188
271,84,189
272,85,190
273,85,191
274,85,191
275,86,192
276,86,193
277,87,193
278,88,194
279,88,195
280,89,196
281,90,197
282,90,197
283,90,198
284,91,198
285,91,198
286,91,198
287,91,199
288,92,200
289,93,201
290,94,202
291,95,203
292,95,204
293,96,204
294,96,204
295,96,205
296,96,206
297,96,206
298,96,206
299,97,207
300,97,207
301,97,207
302,98,208
303,98,209
304,98,209
305,98,209
306,98,210
307,99,211
308,99,212
309,99,212
310,100,213
311,100,214
312,101,215
313,102,216
314,103,217
315,104,218
316,105,219
317,105,219
318,106,220
319,106,220
320,107,221
321,108,222
322,109,222
323,110,223
324,110,223
325,111,224
326,111,225
327,111,226
328,111,227
329,111,228
330,112,229
331,112,230
332,112,230
333,112,231
334,112,232
335,112,232
336,112,232
337,112,233
338,112,234
339,112,235
340,112,236
341,112,237
342,112,237
343,112,238
344,112,239
345,112,239
346,112,240
347,112,241
348,112,242
349,112,243
350,112,244
351,113,245
352,113,246
353,113,247
354,113,247
355,114,248
356,115,249
357,115,250
358,115,250
359,115,251
360,116,252
361,117,252
362,117,253
363,118,254
364,119,255
365,120,256
366,120,256
367,121,257
368,121,257
369,121,257
370,121,257
371,121,258
372,121,259
373,121,260
374,121,261
375,121,261
376,122,261
377,123,261
378,123,262
379,124,263
380,124,263
381,124,264
382,124,264
383,124,264
384,124,265
385,124,266
386,125,267
387,125,267
388,125,268
389,125,269
390,126,269
391,126,269
392,126,270
393,127,271
394,127,271
395,127,272
396,128,272
397,128,272
398,129,273
399,129,274
400,130,275
401,130,275
402,131,276
403,132,277
404,132,278
405,133,279
406,133,279
407,134,280
408,134,281
409,134,282
410,134,283
411,134,283
412,135,283
413,136,284
414,136,284
415,136,285
416,137,286
417,138,287
418,139,288
419,140,288
420,140,289
421,141,290
422,141,291
423,142,291
424,142,292
425,143,292
426,143,293
427,144,294
428,145,295
429,145,296
430,145,297
431,145,298
432,146,298
433,147,298
434,148,298
435,148,299
436,148,300
437,149,301
438,150,302
439,151,303
440,152,304
441,153,305
442,153,306
443,154,307
444,154,308
445,155,308
446,156,309
447,156,309
448,156,309
449,156,310
450,156,311
451,156,312
452,156,313
453,156,313
454,157,314
455,157,315
456,157,316
457,157,316
458,157,317
459,157,318
460,158,319
461,158,319
462,158,320
463,159,321
464,159,322
465,159,323
466,159,323
467,160,323
468,160,324
469,161,325
470,161,326
471,161,327
472,161,327
473,162,328
474,163,328
475,164,329
476,164,329
477,164,330
478,164,331
479,164,331
480,164,332
481,164,332
482,164,332
483,164,333
484,164,334
485,164,334
486,164,335
487,164,336
488,164,337
489,164,338
490,165,339
491,165,340
492,165,341
493,165,342
494,165,343
495,165,343
496,165,343
497,166,344
498,166,345
499,167,346
500,167,346
501,168,347
502,169,348
503,170,349
504,170,350
505,170,351
506,171,352
507,171,353
508,171,354
509,171,354
510,172,355
511,173,356
512,173,357
513,173,358
514,174,358
515,175,358
516,175,358
517,175,359
518,175,360
519,175,361
520,176,362
521,177,362
522,177,363
523,177,363
524,178,363
525,178,363
526,179,364
527,179,365
528,179,366
529,180,367
530,180,368
531,180,368
532,180,369
533,180,370
534,181,371
535,181,372
536,181,373
537,182,374
538,183,375
539,184,376
540,185,377
541,185,378
542,186,378
543,187,379
544,188,380
545,188,381
546,188,382
547,189,383
548,189,383
549,189,384
550,189,385
551,189,386
552,189,387
553,190,388
554,190,389
555,190,390
556,191,391
557,191,391
558,191,392
559,192,393
560,192,393
561,192,394
562,192,395
563,192,395
564,193,396
565,193,396
566,194,397
567,194,398
568,194,399
569,195,400
570,196,401
571,196,402
572,196,402
573,196,403
574,196,404
575,197,405
576,197,406
577,197,407
578,197,408
579,197,408
580,198,409
581,198,410
582,199,411
583,199,411
584,199,412
585,200,413
586,201,414
587,201,415
588,201,415
589,202,416
590,202,416
591,202,417
592,202,418
593,202,418
594,202,419
595,203,420
596,203,421
597,203,422
598,204,422
599,204,423
600,204,424
601,204,425
602,204,426
603,205,426
604,205,426
605,205,427
606,205,427
607,206,428
608,206,429
609,206,430
610,206,431
611,206,432
612,206,433
613,207,434
614,207,434
615,207,435
616,207,435
617,207,436
618,207,437
619,208,438
620,208,438
621,209,439
622,210,440
623,210,440
624,211,440
625,211,441
626,211,441
627,212,442
628,212,442
629,212,443
630,213,443
631,213,444
632,213,444
633,213,445
634,213,445
635,214,445
636,214,446
637,214,447
638,214,448
639,214,449
640,215,449
641,216,450
642,216,451
643,217,452
644,217,452
645,217,453
646,218,454
647,219,455
648,219,456
649,219,456
650,220,457
651,220,458
652,220,458
653,221,459
654,221,460
655,222,460
656,222,460
657,222,461
658,222,461
659,222,462
660,223,463
661,223,464
662,223,465
663,224,466
664,224,467
665,225,467
666,226,468
667,226,468
668,227,469
669,228,469
670,228,470
671,228,471
672,228,472
673,228,473
674,229,473
675,229,474
676,230,475
677,230,475
678,231,476
679,232,476
680,232,477
681,233,478
682,233,479
683,233,480
684,233,481
685,234,481
686,234,482
687,234,483
688,234,483
689,234,484
690,235,485
691,235,486
692,236,487
693,237,488
694,237,489
695,237,489
696,237,490
697,237,491
698,238,492
699,239,493
700,239,494
701,239,494
702,239,494
703,240,494
704,240,494
705,241,494
706,241,494
707,241,495
708,242,495
709,242,496
710,242,496
711,243,497
712,243,498
713,243,499
714,243,500
715,243,501
716,243,502
717,243,502
718,243,502
719,244,503
720,245,504
721,245,504
722,245,504
723,246,505
724,246,506
725,246,507
726,246,507
727,247,508
728,247,508
729,247,508
730,247,509
731,247,509
732,247,510
733,248,510
734,249,511
735,250,512
736,250,513
737,250,513
738,251,514
739,252,515
740,252,515
741,252,516
742,252,517
743,253,517
744,254,518
745,255,518
746,256,518
747,256,518
748,256,518
749,256,519
750,257,519
751,257,520
752,257,520
753,257,520
754,257,520
755,257,520
756,258,521
757,258,521
758,258,522
759,259,523
760,259,524
761,259,525
762,259,525
763,260,526
764,260,527
765,260,528
766,261,529
767,261,530
768,261,531
769,261,532
770,262,533
771,262,533
772,262,534
773,263,535
774,263,536
775,263,537
776,264,538
777,264,539
778,264,540
779,265,540
780,266,541
781,266,541
782,266,541
783,266,542
784,266,543
785,267,544
786,268,545
787,268,545
788,269,545
789,270,546
790,270,547
791,271,548
792,272,549
793,273,549
794,274,549
795,275,550
796,275,551
797,275,552
798,275,552
799,275,553
800,275,554
801,276,555
802,276,555
803,276,556
804,277,556
805,278,557
806,278,558
807,278,559
808,278,560
809,279,561
810,279,561
811,279,562
812,279,562
813,280,563
814,280,564
815,280,564
816,280,565
817,280,566
818,280,566
819,281,566
820,281,567
821,281,568
822,281,569
823,281,570
824,282,570
825,283,571
826,284,571
827,284,572
828,285,572
829,286,573
830,286,574
831,286,575
832,287,576
833,287,577
834,287,578
835,287,579
836,287,580
837,288,581
838,288,581
839,289,582
840,289,582
841,290,582
842,290,582
843,291,583
844,292,584
845,292,584
846,293,584
847,293,585
848,294,586
849,294,587
850,294,588
851,295,588
852,295,589
853,295,590
854,295,590
855,295,591
856,295,591
857,295,592
858,295,593
859,295,594
860,295,595
861,295,596
862,295,596
863,296,597
864,297,597
865,297,597
866,297,598
867,297,598
868,297,599
869,297,600
870,297,601
871,298,602
872,299,603
873,299,603
874,299,604
875,299,605
876,300,606
877,300,607
878,301,608
879,302,609
880,302,610
881,302,610
882,303,611
883,303,612
884,304,613
885,304,614
886,304,614
887,305,614
888,305,615
889,306,616
890,306,617
891,306,618
892,307,618
893,308,618
894,308,619
895,308,619
896,308,619
897,308,620
898,309,621
899,310,622
900,310,623
901,310,623
902,310,624
903,310,625
904,310,626
905,310,626
906,310,627
907,310,627
908,310,627
909,311,627
910,312,628
911,312,629
912,312,629
913,312,630
914,313,630
915,313,631
916,313,632
917,313,632
918,314,632
919,315,633
920,315,634
921,316,634
922,317,635
923,317,636
924,317,637
925,318,637
926,319,638
927,319,639
928,319,639
929,320,640
930,320,641
931,320,642
932,320,643
933,321,644
934,321,644
935,321,644
936,322,645
937,322,646
938,322,647
939,322,648
940,322,649
941,322,649
942,322,650
943,322,651
944,323,652
945,323,653
946,323,654
947,323,655
948,323,656
949,323,656
950,323,657
951,323,658
952,323,659
953,324,660
954,324,661
955,325,662
956,326,662
957,326,662
958,327,663
959,328,664
960,328,665
961,328,666
962,328,667
963,328,668
964,329,669
965,330,669
966,331,670
967,331,671
968,331,672
969,331,673
970,332,673
971,332,674
972,333,675
973,334,675
974,334,675
975,334,676
976,334,676
977,335,677
978,336,678
979,337,678
980,337,679
981,337,680
982,338,681
983,338,681
984,338,682
985,338,683
986,338,683
987,338,683
988,339,683
989,339,684
990,340,685
991,340,686
992,341,686
993,342,687
994,343,687
995,344,687
996,345,688
997,346,689
998,347,689
999,347,689
1000,348,689
1001,349,689
1002,349,690
1003,350,690
1004,351,690
1005,351,691
1006,351,692
1007,352,693
1008,352,693
1009,353,693
1010,353,694
1011,353,695
1012,353,696
1013,353,696
1014,353,697
1015,353,697
1016,354,697
1017,355,697
1018,355,698
1019,355,699
1020,355,700
1021,355,701
1022,355,702
1023,355,702
1024,355,703
1025,355,704
1026,355,704
1027,355,704
1028,355,705
1029,356,706
1030,357,706
1031,357,707
1032,358,708
1033,359,708
1034,360,709
1035,360,710
1036,361,711
1037,362,711
1038,362,711
1039,362,711
1040,362,712
1041,363,713
1042,363,714
1043,363,715
1044,363,716
1045,364,717
1046,365,718
1047,366,719
1048,366,720
1049,367,720
1050,367,721
1051,368,722
1052,368,723
1053,369,724
1054,369,724
1055,370,725
1056,370,726
1057,370,727
1058,371,728
1059,371,729
1060,371,730
1061,371,731
1062,371,732
1063,371,732
1064,371,733
1065,371,734
1066,371,734
1067,371,734
1068,371,734
1069,371,735
1070,372,735
1071,372,736
1072,373,737
1073,373,738
1074,373,739
1075,374,740
1076,374,741
1077,374,742
1078,375,743
1079,376,744
1080,376,745
1081,377,746
1082,377,747
1083,377,748
1084,377,749
1085,378,749
1086,378,750
1087,378,751
1088,379,751
1089,379,752
1090,379,753
1091,379,754
1092,379,755
1093,379,755
1094,379,756
1095,380,757
1096,381,757
1097,381,757
1098,381,757
1099,381,758
1100,381,759
1101,381,760
1102,381,761
1103,381,762
1104,382,763
1105,382,764
1106,382,765
1107,382,766
1108,382,767
1109,382,767
1110,382,768
1111,382,769
1112,383,770
1113,383,771
1114,383,771
1115,383,771
1116,384,772
1117,384,772
1118,385,773
1119,385,774
1120,385,774
1121,386,775
1122,387,776
1123,388,776
1124,389,777
1125,390,778
1126,391,779
1127,391,779
1128,391,780
1129,392,781
1130,392,781
1131,392,781
1132,392,782
1133,392,782
1134,393,783
1135,394,784
1136,394,785
1137,395,785
1138,396,786
1139,396,786
1140,397,786
1141,397,787
1142,397,788
1143,397,789
1144,398,790
1145,398,791
1146,398,792
1147,398,792
1148,399,792
1149,399,793
1150,399,794
1151,400,795
1152,400,796
1153,401,797
1154,401,798
1155,401,799
1156,402,800
1157,403,801
1158,404,802
1159,404,802
1160,404,802
1161,404,802
1162,404,802
1163,404,803
1164,405,804
1165,405,805
1166,405,806
1167,405,807
1168,405,808
1169,405,809
1170,406,810
1171,406,811
1172,406,812
1173,406,813
1174,406,814
1175,406,814
1176,406,814
1177,406,815
1178,406,816
1179,406,816
1180,406,817
1181,406,817
1182,407,818
1183,408,818
1184,408,819
1185,408,820
1186,408,821
1187,408,822
1188,408,822
1189,409,823
1190,409,824
1191,410,825
1192,410,826
1193,411,826
1194,411,827
1195,412,828
1196,412,829
1197,413,829
1198,413,830
1199,414,831
1200,414,832
1201,414,833
1202,414,834
1203,415,834
1204,415,835
1205,415,836
1206,415,837
1207,415,837
1208,416,837
1209,416,838
1210,416,839
1211,416,839
1212,416,839
1213,416,840
1214,416,841
1215,416,841
1216,417,841
1217,417,842
1218,418,843
1219,418,844
1220,418,844
1221,419,845
1222,419,846
1223,419,846
1224,420,847
1225,420,848
1226,420,849
1227,420,849
1228,420,850
1229,420,851
1230,420,851
1231,420,851
1232,421,851
1233,421,852
1234,421,853
1235,421,854
1236,421,855
1237,421,855
1238,422,856
1239,422,857
1240,423,858
1241,423,859
1242,423,859
1243,424,859
1244,424,860
1245,424,861
1246,425,862
1247,426,862
1248,426,863
1249,426,863
1250,426,864
1251,426,864
1252,426,865
1253,426,866
1254,426,866
1255,426,867
1256,427,867
1257,427,867
1258,428,868
1259,428,869
1260,429,870
1261,430,871
1262,430,872
1263,430,873
1264,430,874
1265,430,875
1266,430,875
1267,430,875
1268,430,876
1269,431,877
1270,432,878
1271,433,878
1272,433,879
1273,433,880
1274,433,880
1275,433,881
1276,433,881
1277,433,881
1278,433,882
1279,434,883
1280,434,884
1281,434,884
1282,435,885
1283,435,885
1284,435,886
1285,435,887
1286,436,887
1287,437,888
1288,438,889
1289,439,890
1290,440,890
1291,441,890
1292,441,890
1293,441,890
1294,442,891
1295,443,892
1296,443,893
1297,443,893
1298,443,894
1299,443,895
1300,443,896
1301,443,896
1302,443,897
1303,444,898
1304,445,899
1305,445,899
1306,446,899
1307,446,900
1308,446,901
1309,447,901
1310,447,902
1311,447,902
1312,447,902
1313,448,903
1314,448,904
1315,449,905
1316,449,906
1317,449,907
1318,449,908
1319,449,909
1320,449,910
1321,449,911
1322,449,912
1323,450,913
1324,450,914
1325,450,914
1326,451,914
1327,452,914
1328,453,915
1329,453,916
1330,453,917
1331,453,918
1332,454,919
1333,454,920
1334,454,921
1335,454,922
1336,455,923
1337,455,924
1338,455,925
1339,455,926
1340,456,926
1341,456,927
1342,456,928
1343,457,929
1344,457,930
1345,457,930
1346,457,931
1347,458,932
1348,458,933
1349,459,933
1350,459,934
1351,460,935
1352,461,936
1353,461,937
1354,461,938
1355,461,939
1356,462,940
1357,462,941
1358,463,942
1359,463,943
1360,463,943
1361,464,944
1362,465,944
1363,466,945
1364,467,946
1365,468,946
1366,469,947
1367,470,948
1368,470,949
1369,470,950
1370,471,951
1371,471,952
1372,471,952
1373,471,952
1374,471,952
1375,471,953
1376,472,953
1377,472,953
1378,472,954
1379,472,955
1380,473,956
1381,473,957
1382,473,958
1383,473,959
1384,473,960
1385,473,961
1386,473,962
1387,473,962
1388,473,962
1389,474,962
1390,475,963
1391,475,964
1392,476,965
1393,476,965
1394,476,965
1395,476,966
1396,476,967
1397,476,967
1398,477,968
1399,477,969
1400,477,969
1401,477,969
1402,477,970
1403,477,971
1404,477,971
1405,478,972
1406,478,973
1407,478,973
1408,478,974
1409,479,975
1410,480,976
1411,481,977
1412,482,978
1413,482,979
1414,482,980
1415,483,981
1416,484,982
1417,485,983
1418,485,984
1419,485,985
1420,486,985
1421,486,986
1422,486,987
1423,486,987
1424,486,988
1425,486,989
1426,486,990
1427,487,991
1428,487,992
1429,488,993
1430,488,994
1431,489,995
1432,489,995
1433,489,995
1434,489,996
1435,489,997
1436,489,998
1437,490,999
1438,490,1000
1439,490,1001
1440,490,1001
1441,491,1002
1442,491,1002
1443,491,1003
1444,491,1004
1445,491,1005
1446,491,1006
1447,491,1007
1448,491,1008
1449,491,1009
1450,492,1010
1451,492,1011
1452,493,1012
1453,493,1013
1454,493,1014
1455,493,1014
1456,493,1014
1457,493,1015
1458,493,1016
1459,494,1016
1460,494,1017
1461,494,1018
1462,495,1019
1463,495,1020
1464,495,1020
1465,495,1020
1466,495,1020
1467,495,1020
1468,496,1021
1469,496,1022
1470,496,1022
1471,496,1023
1472,496,1024
1473,497,1025
1474,498,1025
1475,498,1025
1476,498,1026
1477,498,1027
1478,499,1027
1479,499,1028
1480,499,1029
1481,500,1030
1482,500,1030
1483,501,1031
1484,502,1031
1485,502,1032
1486,502,1033
1487,502,1034
1488,502,1035
1489,503,1036
1490,504,1037
1491,504,1037
1492,504,1038
1493,504,1038
1494,504,1039
1495,504,1040
1496,504,1040
1497,504,1041
1498,504,1041
1499,504,1042
1500,505,1043
1501,505,1043
1502,505,1043
1503,505,1043
1504,505,1043
1505,506,1043
1506,506,1044
1507,506,1045
1508,507,1046
1509,507,1047
1510,507,1047
1511,507,1048
1512,507,1048
1513,507,1049
1514,508,1049
1515,509,1050
1516,510,1051
1517,510,1052
1518,511,1053
1519,511,1054
1520,511,1055
1521,512,1055
1522,512,1056
1523,513,1057
1524,513,1058
1525,513,1059
1526,513,1059
1527,513,1059
1528,513,1060
1529,513,1060
1530,513,1061
1531,513,1062
1532,513,1062
1533,513,1063
1534,514,1064
1535,514,1064
1536,514,1064
1537,515,1065
1538,516,1066
1539,516,1067
1540,516,1068
1541,517,1069
1542,518,1069
1543,519,1070
1544,519,1070
1545,520,1070
1546,520,1071
1547,520,1071
1548,521,1072
1549,521,1073
1550,522,1074
1551,522,1074
1552,522,1074
1553,522,1074
1554,522,1074
1555,523,1075
1556,523,1076
1557,523,1076
1558,523,1076
1559,523,1077
1560,523,1078
1561,523,1078
1562,524,1079
1563,525,1080
1564,525,1081
1565,525,1082
1566,526,1083
1567,527,1084
1568,527,1085
1569,527,1086
1570,528,1086
1571,529,1087
1572,529,1087
1573,529,1087
1574,529,1087
1575,529,1088
1576,529,1089
1577,530,1089
1578,530,1089
1579,530,1090
1580,531,1091
1581,531,1092
1582,531,1093
1583,532,1094
1584,532,1095
1585,532,1096
1586,532,1097
1587,533,1098
1588,533,1098
1589,534,1099
1590,535,1100
1591,535,1101
1592,535,1101
1593,536,1101
1594,536,1102
1595,536,1103
1596,537,1104
1597,538,1104
1598,539,1105
1599,539,1106
1600,540,1107
1601,540,1107
1602,540,1108
1603,541,1109
1604,541,1109
1605,541,1109
1606,541,1110
1607,541,1111
1608,542,1112
1609,543,1112
1610,543,1112
1611,544,1112
1612,545,1113
1613,546,1114
1614,546,1114
1615,546,1115
1616,546,1116
1617,546,1116
1618,547,1116
1619,547,1117
1620,548,1117
1621,548,1117
1622,548,1118
1623,548,1118
1624,549,1119
1625,550,1119
1626,550,1120
1627,550,1120
1628,550,1121
1629,550,1122
1630,550,1123
1631,550,1123
1632,550,1124
1633,550,1125
1634,551,1125
1635,551,1126
1636,552,1127
1637,553,1128
1638,553,1129
1639,553,1130
1640,553,1130
1641,553,1131
1642,554,1131
1643,554,1131
1644,554,1131
1645,554,1131
1646,554,1132
1647,555,1132
1648,555,1133
1649,555,1134
1650,556,1134
1651,556,1135
1652,556,1136
1653,556,1137
1654,557,1138
1655,558,1139
1656,558,1139
1657,558,1140
1658,559,1140
1659,560,1140
1660,561,1140
1661,561,1141
1662,562,1141
1663,563,1142
1664,564,1143
1665,564,1143
1666,564,1144
1667,565,1145
1668,565,1145
1669,566,1146
1670,566,1147
1671,566,1148
1672,566,1149
1673,566,1150
1674,566,1151
1675,567,1151
1676,567,1152
1677,567,1152
1678,568,1153
1679,568,1154
1680,568,1155
1681,568,1156
1682,568,1157
1683,568,1158
1684,568,1159
1685,568,1159
1686,568,1160
1687,568,1161
1688,568,1161
1689,569,1162
1690,570,1163
1691,571,1164
1692,572,1164
1693,572,1165
1694,572,1166
1695,572,1166
1696,572,1166
1697,572,1167
1698,572,1167
1699,572,1168
1700,572,1169
1701,572,1169
1702,572,1170
1703,572,1171
1704,572,1172
1705,573,1173
1706,573,1173
1707,573,1174
1708,573,1175
1709,573,1175
1710,574,1175
1711,575,1175
1712,575,1175
1713,575,1176
1714,575,1177
1715,575,1178
1716,575,1179
1717,576,1180
1718,577,1180
1719,578,1181
1720,578,1181
1721,579,1182
1722,579,1183
1723,579,1184
1724,579,1185
1725,579,1186
1726,579,1187
1727,579,1188
1728,579,1189
1729,579,1189
1730,579,1189
1731,580,1190
1732,580,1191
1733,580,1192
1734,580,1192
1735,581,1193
1736,581,1194
1737,581,1195
1738,581,1195
1739,581,1195
1740,582,1196
1741,583,1196
1742,583,1197
1743,584,1198
1744,584,1198
1745,584,1199
1746,584,1200
1747,584,1200
1748,584,1201
1749,584,1202
1750,584,1203
1751,584,1204
1752,584,1205
1753,584,1206
1754,584,1207
1755,584,1208
1756,585,1209
1757,585,1210
1758,585,1211
1759,586,1212
1760,587,1213
1761,587,1214
1762,588,1215
1763,588,1216
1764,588,1217
1765,588,1218
1766,588,1218
1767,589,1218
1768,589,1219
1769,589,1219
1770,589,1220
1771,589,1221
1772,589,1222
1773,590,1223
1774,591,1224
1775,591,1225
1776,591,1226
1777,592,1227
1778,593,1227
1779,593,1228
1780,593,1228
1781,593,1228
1782,593,1228
1783,594,1228
1784,594,1229
1785,594,1230
1786,595,1231
1787,595,1232
1788,595,1233
1789,595,1233
1790,595,1234
1791,595,1234
1792,596,1235
1793,597,1235
1794,598,1236
1795,598,1236
1796,598,1237
1797,598,1237
1798,599,1237
1799,600,1238
1800,600,1239
1801,600,1240
1802,600,1241
1803,600,1241
1804,601,1242
1805,602,1243
1806,603,1244
1807,604,1245
1808,605,1246
1809,606,1246
1810,607,1247
1811,608,1247
1812,608,1247
1813,609,1247
1814,610,1248
1815,611,1248
1816,611,1248
1817,611,1249
1818,611,1250
1819,611,1250
1820,612,1251
1821,613,1252
1822,613,1253
1823,613,1254
1824,614,1255
1825,614,1256
1826,614,1256
1827,614,1256
1828,615,1257
1829,615,1258
1830,615,1258
1831,615,1259
1832,615,1260
1833,615,1260
1834,615,1261
1835,616,1261
1836,616,1261
1837,616,1262
1838,617,1262
1839,617,1262
1840,617,1263
1841,618,1264
1842,618,1264
1843,618,1264
1844,618,1265
1845,618,1265
1846,618,1265
1847,619,1266
1848,620,1267
1849,621,1268
1850,622,1268
1851,622,1269
1852,622,1270
1853,622,1271
1854,622,1272
1855,622,1273
1856,623,1273
1857,624,1274
1858,624,1275
1859,625,1276
1860,625,1277
1861,625,1278
1862,626,1279
1863,626,1280
1864,627,1281
1865,628,1282
1866,628,1282
1867,628,1283
1868,628,1284
1869,629,1285
1870,630,1286
1871,630,1287
1872,630,1287
1873,631,1288
1874,631,1289
1875,632,1289
1876,633,1290
1877,633,1290
1878,633,1290
1879,634,1290
1880,634,1291
1881,634,1292
1882,634,1292
1883,634,1293
1884,634,1294
1885,634,1295
1886,635,1296
1887,636,1297
1888,637,1297
1889,638,1298
1890,639,1299
1891,639,1299
1892,640,1300
1893,640,1301
1894,640,1301
1895,640,1302
1896,640,1303
1897,640,1304
1898,641,1305
1899,641,1306
1900,641,1306
1901,642,1306
1902,642,1306
1903,642,1306
1904,642,1306
1905,643,1307
1906,644,1307
1907,645,1308
1908,645,1309
1909,645,1310
1910,645,1311
1911,646,1311
1912,646,1312
1913,646,1313
1914,646,1313
1915,646,1313
1916,646,1314
1917,646,1314
1918,647,1314
1919,648,1315
1920,648,1316
1921,649,1317
1922,649,1317
1923,650,1318
1924,650,1319
1925,650,1319
1926,650,1319
1927,650,1319
1928,650,1320
1929,650,1320
1930,651,1321
1931,652,1322
1932,652,1323
1933,652,1324
1934,652,1325
1935,652,1325
1936,653,1326
1937,653,1327
1938,654,1328
1939,654,1329
1940,654,1330
1941,654,1331
1942,654,1331
1943,654,1332
1944,654,1333
1945,654,1334
1946,654,1334
1947,655,1335
1948,655,1335
1949,655,1336
1950,655,1337
1951,656,1338
1952,657,1339
1953,658,1340
1954,658,1341
1955,659,1342
1956,660,1343
1957,660,1344
1958,661,1344
1959,662,1344
1960,662,1345
1961,662,1345
1962,662,1345
1963,662,1345
1964,663,1346
1965,663,1347
1966,663,1347
1967,664,1348
1968,664,1349
1969,664,1349
1970,665,1350
1971,665,1350
1972,665,1351
1973,665,1352
1974,666,1353
1975,666,1354
1976,667,1354
1977,668,1354
1978,668,1354
1979,668,1355
1980,668,1356
1981,669,1357
1982,670,1357
1983,670,1358
1984,671,1359
1985,671,1359
1986,671,1359
1987,671,1360
1988,671,1361
1989,671,1362
1990,671,1362
1991,672,1363
1992,672,1363
1993,672,1364
1994,673,1365
1995,674,1366
1996,675,1367
1997,675,1367
1998,675,1368
1999,676,1369
2000,676,1369
2001,676,1370
2002,676,1371
2003,676,1372
2004,676,1372
2005,676,1373
2006,676,1373
2007,677,1374
2008,678,1375
2009,678,1376
2010,678,1377
2011,678,1378
2012,678,1379
2013,678,1379
2014,678,1380
2015,678,1381
2016,679,1382
2017,679,1382
2018,679,1383
2019,680,1383
2020,680,1383
2021,681,1383
2022,681,1384
2023,681,1384
2024,681,1385
2025,682,1386
2026,682,1387
2027,683,1388
2028,683,1389
2029,683,1390
2030,683,1391
2031,684,1391
2032,684,1392
2033,684,1392
2034,684,1393
2035,684,1394
2036,685,1395
2037,685,1396
2038,685,1397
2039,685,1398
2040,685,1399
2041,685,1399
2042,685,1399
2043,685,1400
2044,686,1401
2045,687,1402
2046,688,1403
2047,688,1404
2048,688,1405
2049,689,1406
2050,689,1407
2051,689,1408
2052,690,1409
