n,average
10247,4700.46
10248,4700.92
10249,4701.38
10250,4701.83
10251,4702.29
10252,4702.75
10253,4703.21
10254,4703.67
10255,4699.82
10256,4700.27
10257,4700.73
10258,4701.19
10259,4701.65
10260,4702.11
10261,4702.57
10262,4698.72
10263,4694.88
10264,4695.33
10265,4695.79
10266,4696.25
10267,4696.71
10268,4692.87
10269,4693.33
10270,4693.78
10271,4694.24
10272,4694.7
10273,4695.16
10274,4695.61
10275,4696.07
10276,4692.24
10277,4692.69
10278,4693.15
10279,4693.61
10280,4694.06
10281,4694.52
10282,4694.98
10283,4695.43
10284,4695.89
10285,4696.35
10286,4696.8
10287,4697.26
10288,4697.72
10289,4698.17
10290,4698.63
10291,4699.09
10292,4699.54
10293,4700
10294,4700.46
10295,4700.91
10296,4701.37
10297,4701.83
10298,4702.28
10299,4702.74
10300,4703.2
10301,4703.65
10302,4704.11
10303,4704.57
10304,4705.02
10305,4705.48
10306,4705.94
10307,4702.1
10308,4702.55
10309,4703.01
10310,4703.47
10311,4703.92
10312,4704.38
10313,4700.55
10314,4701
10315,4701.46
10316,4701.91
10317,4702.37
10318,4702.83
10319,4703.28
10320,4703.74
10321,4704.19
10322,4700.36
10323,4700.82
10324,4701.28
10325,4701.73
10326,4702.19
10327,4702.64
10328,4703.1
10329,4703.55
10330,4704.01
10331,4704.46
10332,4704.92
10333,4705.37
10334,4705.83
10335,4706.28
10336,4706.74
10337,4707.19
10338,4703.37
10339,4703.82
10340,4704.28
10341,4700.45
10342,4700.91
10343,4701.36
10344,4697.55
10345,4698
10346,4698.46
10347,4698.91
10348,4699.36
10349,4699.82
10350,4700.27
10351,4700.73
10352,4696.91
10353,4697.37
10354,4697.82
10355,4694.02
10356,4694.47
10357,4690.67
10358,4691.12
10359,4691.58
10360,4692.03
10361,4692.48
10362,4692.93
10363,4693.39
10364,4689.59
10365,4690.05
10366,4690.5
10367,4690.95
10368,4691.4
10369,4691.86
10370,4692.31
10371,4692.76
10372,4688.97
10373,4689.42
10374,4689.87
10375,4690.33
10376,4690.78
10377,4691.23
10378,4691.68
10379,4692.13
10380,4692.59
10381,4693.04
10382,4689.25
10383,4689.7
10384,4690.15
10385,4686.37
10386,4686.82
10387,4687.27
10388,4687.73
10389,4683.95
10390,4680.18
10391,4680.63
10392,4681.08
10393,4681.53
10394,4681.98
10395,4682.43
10396,4682.88
10397,4683.33
10398,4679.57
10399,4675.81
10400,4676.26
10401,4676.71
10402,4677.16
10403,4677.61
10404,4678.06
10405,4678.51
10406,4678.96
10407,4679.41
10408,4679.86
10409,4680.31
10410,4680.76
10411,4681.21
10412,4681.65
10413,4682.1
10414,4682.55
10415,4683
10416,4683.45
10417,4683.9
10418,4684.35
10419,4684.8
10420,4681.04
10421,4677.29
10422,4677.74
10423,4678.19
10424,4678.64
10425,4679.08
10426,4679.53
10427,4679.98
10428,4680.43
10429,4676.68
10430,4677.13
10431,4677.58
10432,4673.84
10433,4674.28
10434,4674.73
10435,4675.18
10436,4675.63
10437,4676.08
10438,4676.52
10439,4676.97
10440,4677.42
10441,4677.87
10442,4678.32
10443,4678.76
10444,4675.02
10445,4675.47
10446,4675.92
10447,4676.37
10448,4676.81
10449,4677.26
10450,4673.52
10451,4669.79
10452,4670.24
10453,4670.69
10454,4671.13
10455,4667.41
10456,4667.86
10457,4668.3
10458,4668.75
10459,4669.2
10460,4669.64
10461,4670.09
10462,4670.54
10463,4670.98
10464,4667.26
10465,4667.71
10466,4668.15
10467,4668.6
10468,4669.05
10469,4665.33
10470,4665.78
10471,4666.22
10472,4666.67
10473,4667.11
10474,4667.56
10475,4668
10476,4668.45
10477,4668.89
10478,4669.34
10479,4669.79
10480,4670.23
10481,4670.68
10482,4671.12
10483,4671.57
10484,4672.01
10485,4672.46
10486,4668.74
10487,4669.19
10488,4669.63
10489,4670.08
10490,4670.53
10491,4670.97
10492,4671.42
10493,4671.86
10494,4672.31
10495,4672.75
10496,4673.2
10497,4673.64
10498,4674.09
10499,4670.37
10500,4666.67
10501,4667.11
10502,4667.56
10503,4668
10504,4668.44
10505,4668.89
10506,4669.33
10507,4669.78
10508,4670.22
10509,4670.67
10510,4671.11
10511,4671.56
10512,4672
10513,4672.44
10514,4672.89
10515,4673.33
10516,4673.78
10517,4674.22
10518,4674.67
10519,4675.11
10520,4675.56
10521,4676
10522,4676.44
10523,4676.89
10524,4677.33
10525,4677.78
10526,4674.07
10527,4674.51
10528,4674.96
10529,4675.4
10530,4675.84
10531,4676.29
10532,4676.73
10533,4677.18
10534,4677.62
10535,4678.06
10536,4678.51
10537,4674.8
10538,4675.24
10539,4671.54
10540,4671.99
10541,4672.43
10542,4672.87
10543,4673.32
10544,4673.76
10545,4674.2
10546,4674.65
10547,4675.09
10548,4675.53
10549,4675.98
10550,4676.42
10551,4676.86
10552,4677.3
10553,4677.75
10554,4678.19
10555,4678.63
10556,4679.08
10557,4679.52
10558,4679.96
10559,4680.41
10560,4676.71
10561,4677.15
10562,4677.59
10563,4673.89
10564,4674.34
10565,4674.78
10566,4675.22
10567,4675.66
10568,4676.11
10569,4676.55
10570,4672.86
10571,4669.17
10572,4669.61
10573,4670.05
10574,4670.49
10575,4670.94
10576,4671.38
10577,4671.82
10578,4672.26
10579,4672.7
10580,4673.14
10581,4673.59
10582,4674.03
10583,4674.47
10584,4674.91
10585,4675.35
10586,4675.8
10587,4676.24
10588,4676.68
10589,4677.12
10590,4677.56
10591,4678
10592,4678.45
10593,4678.89
10594,4679.33
10595,4679.77
10596,4680.21
10597,4676.52
10598,4676.96
10599,4677.41
10600,4677.85
10601,4674.16
10602,4674.6
10603,4675.04
10604,4671.37
10605,4671.81
10606,4672.25
10607,4672.69
10608,4669.01
10609,4669.45
10610,4669.89
10611,4670.33
10612,4670.77
10613,4671.21
10614,4671.65
10615,4672.1
10616,4672.54
10617,4672.98
10618,4669.31
10619,4669.74
10620,4670.18
10621,4670.62
10622,4671.06
10623,4671.5
10624,4671.94
10625,4668.28
10626,4668.72
10627,4669.16
10628,4669.6
10629,4670.04
10630,4666.37
10631,4666.81
10632,4667.25
10633,4667.69
10634,4668.13
10635,4668.57
10636,4669.01
10637,4669.45
10638,4669.89
10639,4670.32
10640,4670.76
10641,4667.11
10642,4667.54
10643,4667.98
10644,4668.42
10645,4664.77
10646,4665.21
10647,4665.64
10648,4666.08
10649,4662.43
10650,4658.79
10651,4659.23
10652,4659.67
10653,4660.1
10654,4660.54
10655,4660.98
10656,4661.42
10657,4661.85
10658,4662.29
10659,4662.73
10660,4663.17
10661,4663.6
10662,4664.04
10663,4664.48
10664,4664.92
10665,4665.35
10666,4665.79
10667,4666.23
10668,4666.67
10669,4667.1
10670,4667.54
10671,4667.98
10672,4668.42
10673,4668.85
10674,4669.29
10675,4669.73
10676,4670.17
10677,4666.52
10678,4666.96
10679,4667.4
10680,4667.83
10681,4668.27
10682,4668.71
10683,4665.07
10684,4665.5
10685,4665.94
10686,4666.38
10687,4666.81
10688,4667.25
10689,4667.69
10690,4668.12
10691,4668.56
10692,4669
10693,4669.43
10694,4665.79
10695,4666.23
10696,4666.67
10697,4667.1
10698,4667.54
10699,4667.98
10700,4664.34
10701,4664.78
10702,4665.21
10703,4661.59
10704,4662.02
10705,4662.46
10706,4662.89
10707,4663.33
10708,4663.76
10709,4664.2
10710,4664.63
10711,4665.07
10712,4665.51
10713,4665.94
10714,4666.38
10715,4666.81
10716,4667.25
10717,4667.68
10718,4668.12
10719,4668.55
10720,4668.99
10721,4669.43
10722,4669.86
10723,4670.3
10724,4670.73
10725,4671.17
10726,4667.54
10727,4667.97
10728,4668.41
10729,4668.84
10730,4669.28
10731,4669.71
10732,4670.15
10733,4670.58
10734,4671.02
10735,4671.45
10736,4671.89
10737,4668.26
10738,4664.64
10739,4665.07
10740,4665.51
10741,4665.94
10742,4662.33
10743,4662.76
10744,4663.19
10745,4663.63
10746,4664.06
10747,4664.5
10748,4664.93
10749,4665.36
10750,4665.8
10751,4666.23
10752,4666.67
10753,4667.1
10754,4667.53
10755,4667.97
10756,4668.4
10757,4664.79
10758,4665.22
10759,4665.65
10760,4666.09
10761,4666.52
10762,4666.96
10763,4667.39
10764,4667.82
10765,4664.21
10766,4664.64
10767,4665.08
10768,4665.51
10769,4665.94
10770,4666.38
10771,4666.81
10772,4667.24
10773,4667.68
10774,4668.11
10775,4668.54
10776,4668.98
10777,4669.41
10778,4669.84
10779,4666.23
10780,4666.67
10781,4667.1
10782,4667.53
10783,4667.97
10784,4668.4
10785,4668.83
10786,4669.26
10787,4669.7
10788,4670.13
10789,4670.56
10790,4671
10791,4671.43
10792,4671.86
10793,4672.29
10794,4672.73
10795,4673.16
10796,4673.59
10797,4674.03
10798,4674.46
10799,4670.85
10800,4671.28
10801,4671.71
10802,4672.15
10803,4672.58
10804,4673.01
10805,4673.44
10806,4673.88
10807,4674.31
10808,4674.74
10809,4675.17
10810,4675.61
10811,4676.04
10812,4676.47
10813,4676.9
10814,4677.34
10815,4677.77
10816,4678.2
10817,4678.63
10818,4675.02
10819,4675.45
10820,4675.89
10821,4676.32
10822,4676.75
10823,4677.18
10824,4677.61
10825,4678.05
10826,4678.48
10827,4678.91
10828,4679.34
10829,4679.78
10830,4680.21
10831,4680.64
10832,4681.07
10833,4681.5
10834,4681.94
10835,4682.37
10836,4682.8
10837,4683.23
10838,4683.66
10839,4680.05
10840,4680.48
10841,4680.92
10842,4681.35
10843,4681.78
10844,4678.17
10845,4678.6
10846,4679.03
10847,4679.47
10848,4679.9
10849,4680.33
10850,4680.76
10851,4681.19
10852,4681.62
10853,4682.05
10854,4682.48
10855,4682.92
10856,4683.35
10857,4683.78
10858,4684.21
10859,4684.64
10860,4685.07
10861,4685.5
10862,4685.94
10863,4686.37
10864,4686.8
10865,4687.23
10866,4687.66
10867,4688.09
10868,4688.52
10869,4684.91
10870,4685.34
10871,4685.78
10872,4686.21
10873,4686.64
10874,4687.07
10875,4687.5
10876,4687.93
10877,4688.36
10878,4688.79
10879,4689.22
10880,4689.66
10881,4690.09
10882,4690.52
10883,4690.95
10884,4691.38
10885,4691.81
10886,4692.24
10887,4692.67
10888,4693.1
10889,4693.53
10890,4693.97
10891,4690.35
10892,4690.78
10893,4691.21
10894,4691.65
10895,4692.08
10896,4692.51
10897,4692.94
10898,4693.37
10899,4693.8
10900,4694.23
10901,4694.66
10902,4695.09
10903,4695.52
10904,4695.95
10905,4696.38
10906,4696.81
10907,4697.24
10908,4697.67
10909,4694.06
10910,4694.49
10911,4694.92
10912,4695.35
10913,4695.78
10914,4696.21
10915,4696.64
10916,4697.07
10917,4697.5
10918,4697.93
10919,4698.36
10920,4698.8
10921,4699.23
10922,4699.66
10923,4696.04
10924,4696.47
10925,4696.9
10926,4697.33
10927,4697.76
10928,4698.19
10929,4698.62
10930,4699.05
10931,4699.48
10932,4699.91
10933,4700.34
10934,4700.77
10935,4701.2
10936,4701.63
10937,4702.06
10938,4702.49
10939,4702.92
10940,4699.31
10941,4699.74
10942,4700.17
10943,4700.6
10944,4701.03
10945,4701.46
10946,4701.89
10947,4702.32
10948,4702.75
10949,4703.18
10950,4703.61
10951,4704.04
10952,4704.47
10953,4704.9
10954,4705.33
10955,4705.76
10956,4706.19
10957,4706.62
10958,4707.04
10959,4707.47
10960,4707.9
10961,4708.33
10962,4708.76
10963,4709.19
10964,4705.58
10965,4706.01
10966,4706.44
10967,4706.87
10968,4707.3
10969,4707.73
10970,4708.15
10971,4708.58
10972,4709.01
10973,4709.44
10974,4709.87
10975,4706.26
10976,4706.69
10977,4707.12
10978,4707.55
10979,4707.98
10980,4708.4
10981,4708.83
10982,4709.26
10983,4709.69
10984,4710.12
10985,4710.55
10986,4706.94
10987,4707.37
10988,4707.8
10989,4704.2
10990,4700.6
10991,4697.01
10992,4697.44
10993,4697.86
10994,4698.29
10995,4698.72
10996,4699.15
10997,4699.57
10998,4700
10999,4696.41
11000,4696.84
11001,4697.27
11002,4697.69
11003,4698.12
11004,4694.54
11005,4694.97
11006,4695.39
11007,4695.82
11008,4696.25
11009,4696.67
11010,4697.1
11011,4693.52
11012,4693.95
11013,4690.37
11014,4690.8
11015,4691.23
11016,4691.65
11017,4692.08
11018,4692.5
11019,4692.93
11020,4693.36
11021,4693.78
11022,4694.21
11023,4694.63
11024,4695.06
11025,4695.49
11026,4695.91
11027,4696.34
11028,4696.76
11029,4693.19
11030,4693.62
11031,4690.05
11032,4690.48
11033,4690.9
11034,4691.33
11035,4687.77
11036,4688.19
11037,4688.62
11038,4689.04
11039,4689.46
11040,4689.89
11041,4690.31
11042,4690.74
11043,4691.16
11044,4691.59
11045,4692.01
11046,4692.44
11047,4692.86
11048,4689.3
11049,4689.73
11050,4690.15
11051,4690.58
11052,4687.02
11053,4687.45
11054,4687.87
11055,4688.3
11056,4688.72
11057,4689.14
11058,4689.57
11059,4689.99
11060,4690.42
11061,4690.84
11062,4687.29
11063,4687.71
11064,4688.14
11065,4688.56
11066,4688.98
11067,4689.41
11068,4689.83
11069,4690.25
11070,4690.68
11071,4691.1
11072,4691.53
11073,4691.95
11074,4692.37
11075,4692.8
11076,4693.22
11077,4693.64
11078,4694.07
11079,4694.49
11080,4694.92
11081,4695.34
11082,4695.76
11083,4696.19
11084,4692.63
11085,4693.06
11086,4693.48
11087,4693.9
11088,4694.33
11089,4694.75
11090,4695.17
11091,4695.6
11092,4696.02
11093,4696.44
11094,4696.87
11095,4697.29
11096,4697.71
11097,4698.14
11098,4694.59
11099,4695.01
11100,4695.43
11101,4695.85
11102,4696.28
11103,4696.7
11104,4697.12
11105,4697.55
11106,4697.97
11107,4698.39
11108,4698.82
11109,4699.24
11110,4699.66
11111,4700.08
11112,4700.51
11113,4700.93
11114,4701.35
11115,4701.78
11116,4702.2
11117,4702.62
11118,4699.07
11119,4695.52
11120,4695.95
11121,4696.37
11122,4692.83
11123,4693.25
11124,4693.67
11125,4694.09
11126,4694.51
11127,4694.94
11128,4695.36
11129,4695.78
11130,4696.2
11131,4696.62
11132,4697.05
11133,4697.47
11134,4697.89
11135,4698.31
11136,4698.73
11137,4699.16
11138,4699.58
11139,4700
11140,4700.42
11141,4700.84
11142,4701.27
11143,4701.69
11144,4702.11
11145,4702.53
11146,4702.95
11147,4703.38
11148,4703.8
11149,4704.22
11150,4704.64
11151,4705.06
11152,4701.52
11153,4701.94
11154,4702.36
11155,4702.78
11156,4703.2
11157,4703.63
11158,4704.05
11159,4704.47
11160,4704.89
11161,4705.31
11162,4705.73
11163,4706.16
11164,4706.58
11165,4707
11166,4707.42
11167,4703.88
11168,4704.3
11169,4704.72
11170,4705.14
11171,4705.56
11172,4705.98
11173,4706.4
11174,4706.82
11175,4707.25
11176,4707.67
11177,4708.09
11178,4708.51
11179,4704.97
11180,4705.39
11181,4705.81
11182,4706.23
11183,4706.65
11184,4707.07
11185,4707.49
11186,4707.91
11187,4708.33
11188,4708.75
11189,4709.18
11190,4709.6
11191,4710.02
11192,4706.48
11193,4706.9
11194,4703.36
11195,4703.78
11196,4704.2
11197,4704.62
11198,4705.04
11199,4705.46
11200,4705.88
11201,4706.3
11202,4702.77
11203,4703.19
11204,4703.61
11205,4704.03
11206,4704.45
11207,4704.87
11208,4705.29
11209,4705.71
11210,4706.13
11211,4706.55
11212,4706.97
11213,4707.39
11214,4707.81
11215,4704.28
11216,4704.7
11217,4705.12
11218,4705.54
11219,4705.96
11220,4706.38
11221,4706.8
11222,4707.21
11223,4707.63
11224,4708.05
11225,4708.47
11226,4708.89
11227,4709.31
11228,4705.78
11229,4706.2
11230,4702.68
11231,4703.1
11232,4703.52
11233,4703.94
11234,4700.42
11235,4700.84
11236,4697.32
11237,4697.74
11238,4698.16
11239,4698.58
11240,4699
11241,4699.41
11242,4699.83
11243,4700.25
11244,4700.67
11245,4701.09
11246,4701.51
11247,4701.92
11248,4702.34
11249,4702.76
11250,4703.18
11251,4703.6
11252,4704.01
11253,4704.43
11254,4704.85
11255,4705.27
11256,4705.69
11257,4706.1
11258,4706.52
11259,4706.94
11260,4703.43
11261,4703.84
11262,4704.26
11263,4704.68
11264,4705.1
11265,4705.51
11266,4705.93
11267,4706.35
11268,4706.77
11269,4707.18
11270,4707.6
11271,4704.09
11272,4704.51
11273,4704.92
11274,4705.34
11275,4701.83
11276,4702.25
11277,4702.67
11278,4703.09
11279,4703.5
11280,4703.92
11281,4700.42
11282,4700.83
11283,4701.25
11284,4701.67
11285,4702.08
11286,4698.58
11287,4699
11288,4699.42
11289,4699.83
11290,4696.34
11291,4696.76
11292,4697.17
11293,4697.59
11294,4698
11295,4698.42
11296,4698.84
11297,4699.25
11298,4699.67
11299,4700.08
11300,4696.59
11301,4697.01
11302,4697.42
11303,4697.84
11304,4698.25
11305,4698.67
11306,4699.09
11307,4699.5
11308,4699.92
11309,4700.33
11310,4700.75
11311,4701.16
11312,4701.58
11313,4702
11314,4702.41
11315,4702.83
11316,4703.24
11317,4703.66
11318,4704.07
11319,4704.49
11320,4704.9
11321,4705.32
11322,4705.74
11323,4706.15
11324,4706.57
11325,4706.98
11326,4707.4
11327,4707.81
11328,4708.23
11329,4708.65
11330,4709.06
11331,4705.56
11332,4705.98
11333,4706.4
11334,4706.81
11335,4707.23
11336,4707.64
11337,4708.06
11338,4708.47
11339,4708.89
11340,4709.3
11341,4709.72
11342,4710.13
11343,4710.55
11344,4710.96
11345,4711.38
11346,4711.79
11347,4712.21
11348,4712.62
11349,4713.04
11350,4713.46
11351,4713.87
11352,4714.29
11353,4714.7
11354,4715.12
11355,4711.62
11356,4712.03
11357,4712.45
11358,4712.86
11359,4709.37
11360,4709.78
11361,4710.2
11362,4710.61
11363,4711.03
11364,4711.44
11365,4711.86
11366,4712.27
11367,4712.69
11368,4709.2
11369,4709.61
11370,4710.02
11371,4710.44
11372,4710.85
11373,4711.27
11374,4707.78
11375,4704.3
11376,4704.71
11377,4705.13
11378,4705.54
11379,4705.96
11380,4706.37
11381,4706.78
11382,4703.31
11383,4703.72
11384,4704.13
11385,4704.55
11386,4704.96
11387,4705.37
11388,4705.79
11389,4706.2
11390,4706.61
11391,4707.02
11392,4707.44
11393,4707.85
11394,4708.26
11395,4708.68
11396,4709.09
11397,4709.5
11398,4709.92
11399,4710.33
11400,4710.74
11401,4711.16
11402,4707.68
11403,4708.09
11404,4708.51
11405,4708.92
11406,4709.33
11407,4709.74
11408,4710.16
11409,4710.57
11410,4710.98
11411,4711.4
11412,4711.81
11413,4712.22
11414,4712.63
11415,4713.05
11416,4713.46
11417,4709.98
11418,4710.4
11419,4710.81
11420,4711.22
11421,4711.63
11422,4712.05
11423,4712.46
11424,4712.87
11425,4713.28
11426,4713.7
11427,4714.11
11428,4714.52
11429,4714.93
11430,4715.35
11431,4715.76
11432,4716.17
11433,4712.7
11434,4713.11
11435,4713.52
11436,4713.93
11437,4714.34
11438,4714.76
11439,4715.17
11440,4711.7
11441,4712.11
11442,4712.52
11443,4712.93
11444,4713.34
11445,4713.76
11446,4714.17
11447,4714.58
11448,4714.99
11449,4715.4
11450,4715.82
11451,4716.23
11452,4716.64
11453,4717.05
11454,4717.46
11455,4713.99
11456,4714.4
11457,4710.94
11458,4711.35
11459,4711.76
11460,4712.17
11461,4712.58
11462,4712.99
11463,4713.4
11464,4713.82
11465,4714.23
11466,4714.64
11467,4715.05
11468,4715.46
11469,4715.87
11470,4716.28
11471,4716.69
11472,4717.11
11473,4717.52
11474,4717.93
11475,4718.34
11476,4718.75
11477,4719.16
11478,4719.57
11479,4719.98
11480,4720.39
11481,4720.81
11482,4721.22
11483,4721.63
11484,4722.04
11485,4722.45
11486,4722.86
11487,4723.27
11488,4719.8
11489,4720.21
11490,4720.62
11491,4721.04
11492,4721.45
11493,4721.86
11494,4722.27
11495,4718.8
11496,4719.21
11497,4715.75
11498,4712.3
11499,4712.7
11500,4713.11
11501,4713.52
11502,4713.93
11503,4714.34
11504,4714.75
11505,4715.16
11506,4715.57
11507,4715.98
11508,4716.39
11509,4716.8
11510,4717.21
11511,4717.62
11512,4718.03
11513,4718.44
11514,4718.85
11515,4719.26
11516,4719.67
11517,4720.08
11518,4720.49
11519,4720.9
11520,4721.31
11521,4721.72
11522,4722.13
11523,4722.54
11524,4722.95
11525,4723.36
11526,4723.77
11527,4724.18
11528,4724.59
11529,4725
11530,4725.41
11531,4725.82
11532,4726.23
11533,4726.64
11534,4727.05
11535,4727.46
11536,4727.87
11537,4728.28
11538,4728.69
11539,4729.1
11540,4729.51
11541,4729.92
11542,4730.33
11543,4730.74
11544,4731.15
11545,4731.56
11546,4731.97
11547,4732.38
11548,4732.79
11549,4733.2
11550,4733.61
11551,4734.02
11552,4734.43
11553,4734.84
11554,4735.25
11555,4735.66
11556,4736.07
11557,4736.48
11558,4733.01
11559,4733.42
11560,4733.82
11561,4734.23
11562,4734.64
11563,4735.05
11564,4735.46
11565,4735.87
11566,4736.28
11567,4736.69
11568,4737.1
11569,4737.51
11570,4737.92
11571,4738.33
11572,4738.74
11573,4739.15
11574,4739.56
11575,4739.97
11576,4740.38
11577,4740.79
11578,4737.32
11579,4737.73
11580,4734.26
11581,4734.67
11582,4731.21
11583,4731.62
11584,4732.03
11585,4732.43
11586,4732.84
11587,4733.25
11588,4729.8
11589,4730.2
11590,4730.61
11591,4731.02
11592,4731.43
11593,4727.98
11594,4728.38
11595,4728.79
11596,4729.2
11597,4729.61
11598,4730.02
11599,4730.42
11600,4726.98
11601,4727.38
11602,4723.94
11603,4724.35
11604,4724.76
11605,4721.32
11606,4717.89
11607,4718.29
11608,4718.7
11609,4719.11
11610,4719.51
11611,4719.92
11612,4720.33
11613,4720.73
11614,4721.14
11615,4721.54
11616,4721.95
11617,4722.36
11618,4722.76
11619,4723.17
11620,4723.58
11621,4720.15
11622,4720.55
11623,4720.96
11624,4721.36
11625,4721.77
11626,4722.18
11627,4722.58
11628,4722.99
11629,4723.4
11630,4723.8
11631,4724.21
11632,4724.61
11633,4725.02
11634,4725.43
11635,4725.83
11636,4726.24
11637,4726.65
11638,4727.05
11639,4723.62
11640,4724.03
11641,4724.43
11642,4724.84
11643,4725.24
11644,4725.65
11645,4726.06
11646,4726.46
11647,4726.87
11648,4727.27
11649,4727.68
11650,4728.08
11651,4724.66
11652,4725.06
11653,4725.47
11654,4725.87
11655,4726.28
11656,4726.68
11657,4727.09
11658,4727.49
11659,4727.9
11660,4724.47
11661,4724.88
11662,4725.28
11663,4725.69
11664,4726.09
11665,4726.5
11666,4726.9
11667,4727.31
11668,4727.71
11669,4728.12
11670,4724.7
11671,4725.1
11672,4725.51
11673,4725.91
11674,4726.32
11675,4726.72
11676,4727.13
11677,4723.71
11678,4724.11
11679,4724.51
11680,4724.92
11681,4725.32
11682,4725.73
11683,4726.13
11684,4722.72
11685,4723.12
11686,4723.52
11687,4723.93
11688,4724.33
11689,4724.74
11690,4725.14
11691,4725.55
11692,4725.95
11693,4726.35
11694,4726.76
11695,4727.16
11696,4727.57
11697,4727.97
11698,4724.56
11699,4724.96
11700,4725.36
11701,4725.77
11702,4722.36
11703,4722.76
11704,4719.35
11705,4719.76
11706,4720.16
11707,4720.56
11708,4720.97
11709,4721.37
11710,4721.77
11711,4722.18
11712,4722.58
11713,4722.98
11714,4723.39
11715,4723.79
11716,4724.19
11717,4724.6
11718,4725
11719,4721.6
11720,4722
11721,4722.4
11722,4722.8
11723,4723.21
11724,4723.61
11725,4720.21
11726,4720.61
11727,4717.22
11728,4717.62
11729,4714.23
11730,4714.63
11731,4715.03
11732,4715.43
11733,4715.84
11734,4716.24
11735,4712.85
11736,4713.25
11737,4713.65
11738,4714.06
11739,4714.46
11740,4711.08
11741,4711.48
11742,4708.1
11743,4708.5
11744,4708.9
11745,4709.3
11746,4709.7
11747,4710.1
11748,4706.73
11749,4707.13
11750,4707.53
11751,4707.93
11752,4704.56
11753,4704.96
11754,4705.36
11755,4705.76
